SID SYS SCR N 
290 trans.ro 30 10 
320 trans.ro 25.3 10 
289 trans.ro 55.4 10 
87 trans.ro 23.6 10 
257 trans.ro 62.7 10 
3 trans.ro 55.2 10 
324 trans.ro 52.3 10 
299 trans.ro 90.3 10 
42 trans.ro 71.8 10 
346 trans.ro 46.3 10 
282 trans.ro 34.1 10 
312 trans.ro 66.9 10 
96 trans.ro 38.9 10 
134 trans.ro 44.7 10 
327 trans.ro 41.1 10 
179 trans.ro 37.1 10 
200 trans.ro 16.3 10 
82 trans.ro 13.4 10 
176 trans.ro 34.3 10 
19 trans.ro 30.4 10 
218 trans.ro 49.6 10 
26 trans.ro 36.8 10 
275 trans.ro 41.5 10 
207 trans.ro 65.5 10 
24 trans.ro 62.2 10 
190 trans.ro 35.2 10 
0 trans.ro 38.7 10 
20 trans.ro 11.1 10 
340 trans.ro 33.3 10 
188 trans.ro 88 10 
13 trans.ro 59.3 10 
105 trans.ro 32.3 10 
293 trans.ro 35.3 10 
214 trans.ro 86.9 10 
184 trans.ro 62 10 
330 trans.ro 33.4 10 
152 trans.ro 99.9 10 
205 trans.ro 48.5 10 
212 trans.ro 34.7 10 
74 trans.ro 16.8 10 
138 trans.ro 29.4 10 
117 trans.ro 29.4 10 
6 trans.ro 47.7 10 
313 trans.ro 15 10 
56 trans.ro 24.2 10 
186 trans.ro 30.5 10 
120 trans.ro 39.6 10 
133 trans.ro 14.4 10 
63 trans.ro 16.5 10 
278 trans.ro 45.3 10 
163 trans.ro 56.7 10 
113 trans.ro 20 10 
173 trans.ro 41.2 10 
167 trans.ro 41.8 10 
57 trans.ro 66.8 10 
248 trans.ro 41.2 10 
23 trans.ro 56.4 10 
249 trans.ro 90.6 10 
18 trans.ro 48.4 10 
161 trans.ro 48.9 10 
195 trans.ro 37.3 10 
250 trans.ro 51.2 10 
121 trans.ro 21.1 10 
32 trans.ro 70 10 
90 trans.ro 11.9 10 
100 trans.ro 20.2 10 
337 trans.ro 22.5 10 
119 trans.ro 56.8 10 
75 trans.ro 28 10 
158 trans.ro 59.7 10 
