SID SYS SCR N 
23 trans.de 64.4 5 
51 trans.de 55.8 5 
264 trans.de 100 5 
275 trans.de 61.4 5 
288 trans.de 70.4 5 
69 trans.de 61.8 5 
80 trans.de 47 5 
137 trans.de 87.2 5 
20 trans.de 62.6 5 
314 trans.de 50.4 5 
117 trans.de 51.6 5 
98 trans.de 33.6 5 
230 trans.de 61.4 5 
223 trans.de 58.4 5 
54 trans.de 60.4 5 
