SID SYS SCR N 
151 trans.de 97.6 10 
52 trans.de 51.8 10 
329 trans.de 28.9 10 
122 trans.de 28.5 10 
268 trans.de 20.5 10 
216 trans.de 53.8 10 
153 trans.de 84.6 10 
278 trans.de 47.9 10 
93 trans.de 29.1 10 
334 trans.de 41.7 10 
33 trans.de 48.9 10 
274 trans.de 62.2 10 
257 trans.de 67 10 
284 trans.de 63.8 10 
115 trans.de 52.9 10 
81 trans.de 79.4 10 
148 trans.de 67.4 10 
32 trans.de 73.5 10 
307 trans.de 57.4 10 
106 trans.de 32.3 10 
92 trans.de 53.6 10 
313 trans.de 68.9 10 
49 trans.de 49.9 10 
263 trans.de 62.1 10 
226 trans.de 55.4 10 
15 trans.de 46.7 10 
161 trans.de 49.4 10 
142 trans.de 93 10 
79 trans.de 41.7 10 
11 trans.de 41.4 10 
330 trans.de 86.6 10 
27 trans.de 70.2 10 
245 trans.de 81.3 10 
124 trans.de 77.1 10 
125 trans.de 57.2 10 
62 trans.de 58.7 10 
287 trans.de 54.8 10 
323 trans.de 72.1 10 
22 trans.de 54.3 10 
168 trans.de 37.2 10 
58 trans.de 72.5 10 
154 trans.de 88.5 10 
178 trans.de 60.6 10 
218 trans.de 37.9 10 
248 trans.de 49.7 10 
41 trans.de 48.3 10 
95 trans.de 30.3 10 
36 trans.de 57.8 10 
291 trans.de 66.9 10 
163 trans.de 47.4 10 
195 trans.de 80.7 10 
132 trans.de 55.2 10 
183 trans.de 67.2 10 
10 trans.de 57.2 10 
72 trans.de 66.9 10 
126 trans.de 51.3 10 
8 trans.de 64 10 
109 trans.de 36.1 10 
327 trans.de 19.8 10 
189 trans.de 57.7 10 
280 trans.de 93.5 10 
250 trans.de 47.2 10 
246 trans.de 56.3 10 
43 trans.de 68.1 10 
203 trans.de 30.5 10 
173 trans.de 79.7 10 
201 trans.de 57.1 10 
120 trans.de 61 10 
94 trans.de 64.1 10 
171 trans.de 54.1 10 
0 trans.de 78.7 10 
185 trans.de 58.2 10 
16 trans.de 35.6 10 
150 trans.de 51.4 10 
176 trans.de 67.9 10 
227 trans.de 75.5 10 
35 trans.de 74.4 10 
87 trans.de 63.7 10 
68 trans.de 76.2 10 
212 trans.de 58.1 10 
2 trans.de 99 10 
37 trans.de 40.6 10 
322 trans.de 50.4 10 
295 trans.de 60.1 10 
50 trans.de 53.6 10 
28 trans.de 44.3 10 
9 trans.de 75.6 10 
318 trans.de 58.1 10 
220 trans.de 87.5 10 
214 trans.de 49.3 10 
21 trans.de 92.1 10 
75 trans.de 72.8 10 
236 trans.de 45.7 10 
29 trans.de 41.2 10 
145 trans.de 71 10 
320 trans.de 71.7 10 
177 trans.de 76.5 10 
181 trans.de 95.7 10 
140 trans.de 42.7 10 
97 trans.de 69 10 
25 trans.de 34 10 
146 trans.de 73.3 10 
276 trans.de 63.8 10 
31 trans.de 40.2 10 
283 trans.de 57.9 10 
299 trans.de 39.6 10 
233 trans.de 55 10 
40 trans.de 75 10 
74 trans.de 75.4 10 
241 trans.de 67.5 10 
194 trans.de 79.8 10 
130 trans.de 48.7 10 
138 trans.de 70.7 10 
315 trans.de 57.8 10 
219 trans.de 62.2 10 
237 trans.de 52.5 10 
235 trans.de 89.7 10 
197 trans.de 57.2 10 
180 trans.de 22.4 10 
239 trans.de 52.9 10 
89 trans.de 51.3 10 
311 trans.de 78.3 10 
335 trans.de 80.4 10 
182 trans.de 74 10 
234 trans.de 98.7 10 
44 trans.de 60 10 
240 trans.de 81.7 10 
179 trans.de 73 10 
112 trans.de 94.6 10 
99 trans.de 46.3 10 
326 trans.de 52.3 10 
337 trans.de 46.9 10 
215 trans.de 80.1 10 
199 trans.de 73.7 10 
242 trans.de 71 10 
101 trans.de 63.4 10 
331 trans.de 56.8 10 
105 trans.de 66.9 10 
48 trans.de 59.5 10 
310 trans.de 74.5 10 
113 trans.de 38.1 10 
228 trans.de 47.6 10 
302 trans.de 65 10 
5 trans.de 27.5 10 
265 trans.de 84.7 10 
121 trans.de 53.1 10 
217 trans.de 44.1 10 
157 trans.de 72.9 10 
279 trans.de 69.2 10 
262 trans.de 60.2 10 
175 trans.de 63.6 10 
285 trans.de 44.9 10 
260 trans.de 53.9 10 
324 trans.de 66.9 10 
208 trans.de 73.4 10 
292 trans.de 69.5 10 
24 trans.de 53.9 10 
134 trans.de 47.7 10 
328 trans.de 49.7 10 
160 trans.de 48.5 10 
85 trans.de 20.6 10 
70 trans.de 49.2 10 
57 trans.de 61.7 10 
82 trans.de 70.6 10 
259 trans.de 44.3 10 
256 trans.de 61.2 10 
131 trans.de 65.9 10 
272 trans.de 68.5 10 
47 trans.de 62.4 10 
155 trans.de 73.3 10 
317 trans.de 70.1 10 
273 trans.de 88.8 10 
174 trans.de 66.8 10 
13 trans.de 79.4 10 
316 trans.de 61 10 
91 trans.de 81 10 
269 trans.de 55.3 10 
336 trans.de 58.1 10 
102 trans.de 92.4 10 
191 trans.de 55.9 10 
